"","Contributor","Total","PACs","Individuals","Senator"
"2011","Painters & Allied Trades Union","$10000","$10000","$0","Mark Desaulnier"
"2012","Plumbers/Pipefitters Union","$10000","$10000","$0","Mark Desaulnier"
"2013","Sheet Metal, Air, Rail & Transportation Union","$10000","$10000","$0","Mark Desaulnier"
"2014","Teamsters Union","$10000","$10000","$0","Mark Desaulnier"
"2015","House Freedom Fund","$12800","$7000","$5800","Scott Desjarlais"
"2016","American Israel Public Affairs Cmte","$10000","$10000","$0","Scott Desjarlais"
"2017","Majority Cmte PAC","$10000","$10000","$0","Scott Desjarlais"
"2018","American Development Corp","$9100","$0","$9100","Scott Desjarlais"
"2019","National Assn of Realtors","$6000","$6000","$0","Scott Desjarlais"
"2020","Uline Inc","$5800","$0","$5800","Scott Desjarlais"
"2021","Walker Die Casting Inc","$5800","$0","$5800","Scott Desjarlais"
"2022","Eye of the Tiger PAC","$5000","$5000","$0","Scott Desjarlais"
"2023","National Assn of Home Builders","$5000","$5000","$0","Scott Desjarlais"
"2024","National HealthCare Corp","$4000","$4000","$0","Scott Desjarlais"
"2025","Mazurs Total Auto","$500","$0","$500","Mike Detmer"
"2026","Barb Home Schools","$150","$0","$150","Mike Detmer"
"2027","Jon Rocha for Congress","$125","$125","$0","Mike Detmer"
"2028","Pro-Israel America PAC","$29000","$0","$29000","Ted Deutch"
"2029","PNC Financial Services","$7900","$0","$7900","Ted Deutch"
"2030","Bessemer Venture Partners","$5800","$0","$5800","Ted Deutch"
"2031","Hager Pacific Properties","$5800","$0","$5800","Ted Deutch"
"2032","Soundexchange","$5500","$5000","$500","Ted Deutch"
"2033","Schmier & Feurring Properties","$5400","$0","$5400","Ted Deutch"
"2034","AT&T Inc","$5000","$5000","$0","Ted Deutch"
"2035","Progressive Turnout Project","$5000","$5000","$0","Ted Deutch"
"2036","Schneider-Wallace","$5000","$0","$5000","Ted Deutch"
"2037","Service Employees International Union","$5000","$5000","$0","Ted Deutch"
"2038","Whitmore Agency","$23200","$0","$23200","George Devolder-Santos"
"2039","FTX.US","$17400","$0","$17400","George Devolder-Santos"
"2040","Meridian Properties","$15500","$0","$15500","George Devolder-Santos"
"2041","Graffiti Inc","$14500","$0","$14500","George Devolder-Santos"
"2042","Alameda Research","$11600","$0","$11600","George Devolder-Santos"
"2043","Cassidy Organization","$11600","$0","$11600","George Devolder-Santos"
"2044","Corzo Contracting","$11600","$0","$11600","George Devolder-Santos"
"2045","Fairview Hospital","$11600","$0","$11600","George Devolder-Santos"
"2046","Fisher Investments","$11600","$0","$11600","George Devolder-Santos"
"2047","Forman Capital Management","$11600","$0","$11600","George Devolder-Santos"
"2048","Carlton Fields PA","$20630","$0","$20630","Ben Diamond"
"2049","Johnson Pope","$14620","$0","$14620","Ben Diamond"
"2050","Enh Industries","$12310","$0","$12310","Ben Diamond"
"2051","Akerman LLP","$11850","$5000","$6850","Ben Diamond"
"2052","Anderson Group","$11600","$0","$11600","Ben Diamond"
"2053","Black Hole Investments LLC","$11600","$0","$11600","Ben Diamond"
"2054","Charles Rutenberg Realty","$11600","$0","$11600","Ben Diamond"
"2055","Corcoran Partners","$11600","$0","$11600","Ben Diamond"
"2056","Holland & Knight","$10850","$0","$10850","Ben Diamond"
"2057","Saunders & Walker","$9700","$0","$9700","Ben Diamond"
"2058","American Israel Public Affairs Cmte","$29300","$10000","$19300","Mario Diaz-Balart"
"2059","Southern Glazer's Wine & Spirits","$18600","$10000","$8600","Mario Diaz-Balart"
"2060","General Atomics","$16500","$10000","$6500","Mario Diaz-Balart"
"2061","General Dynamics","$15000","$10000","$5000","Mario Diaz-Balart"
"2062","Heico Corp","$14500","$0","$14500","Mario Diaz-Balart"
"2063","US Sugar","$14500","$7000","$7500","Mario Diaz-Balart"
"2064","Advocate Radiation Oncology","$11600","$0","$11600","Mario Diaz-Balart"
"2065","Cerberus Capital Management","$11600","$0","$11600","Mario Diaz-Balart"
"2066","Codina Partners","$11600","$0","$11600","Mario Diaz-Balart"
"2067","Mbb Auto Group","$11600","$0","$11600","Mario Diaz-Balart"
"2068","Reed Smith Llp","$22876","$0","$22876","Jerry Dickinson"
"2069","University of Pittsburgh","$14400","$0","$14400","Jerry Dickinson"
"2070","Cahill, Gordon & Reindel","$11600","$0","$11600","Jerry Dickinson"
"2071","Paul, Weiss et al","$11400","$0","$11400","Jerry Dickinson"
"2072","Cozen O'Connor","$7449","$0","$7449","Jerry Dickinson"
"2073","Fordham University","$6750","$0","$6750","Jerry Dickinson"
"2074","Sidley Austin LLP","$6050","$0","$6050","Jerry Dickinson"
"2075","Bronson Point Mgmt LLC","$5800","$0","$5800","Jerry Dickinson"
"2076","Lhp Capital LLC","$5800","$0","$5800","Jerry Dickinson"
"2077","Ota LLC","$5800","$0","$5800","Jerry Dickinson"
"2078","First Interstate Properties","$5800","$0","$5800","Matthew Diemer"
"2079","Roche Enterprises","$5800","$0","$5800","Matthew Diemer"
"2080","XY Labs","$5800","$0","$5800","Matthew Diemer"
"2081","Origin Protocol","$4900","$0","$4900","Matthew Diemer"
"2082","Cleveland Clinic","$4850","$0","$4850","Matthew Diemer"
"2083","Bay Village Schools","$3500","$0","$3500","Matthew Diemer"
"2084","Gutke Law Group","$3300","$0","$3300","Matthew Diemer"
"2085","Robert S Belovich Attorney LLC","$3000","$0","$3000","Matthew Diemer"
"2086","Wachsman Pr LLC","$3000","$0","$3000","Matthew Diemer"
"2087","Blockfolio","$2900","$0","$2900","Matthew Diemer"
"2088","Rock Holdings","$25800","$10000","$15800","Debbie Dingell"
"2089","University Of Michigan","$18765","$0","$18765","Debbie Dingell"
"2090","Ford Motor Co","$17300","$10000","$7300","Debbie Dingell"
"2091","DTE Energy","$17000","$5000","$12000","Debbie Dingell"
"2092","Arista Networks","$11600","$0","$11600","Debbie Dingell"
"2093","Maddog Technology","$11600","$0","$11600","Debbie Dingell"
"2094","Wonderful Co","$11600","$0","$11600","Debbie Dingell"
"2095","National Assn of Broadcasters","$11175","$8000","$3175","Debbie Dingell"
"2096","American Hospital Assn","$11000","$10000","$1000","Debbie Dingell"
"2097","Fortis Inc","$10500","$10000","$500","Debbie Dingell"
"2098","K Rowe Investments","$2900","$0","$2900","Delina DiSanto"
"2099","Concord Servicing","$2000","$0","$2000","Delina DiSanto"
"2100","Interior Logic Group","$1000","$0","$1000","Delina DiSanto"
"2101","McAuliffe Law Office Pllc","$1000","$0","$1000","Delina DiSanto"
"2102","University of Arizona","$787","$0","$787","Delina DiSanto"
"2103","Innovaquartz LLC","$700","$0","$700","Delina DiSanto"
"2104","Cadre Partners","$500","$0","$500","Delina DiSanto"
"2105","Latham & Watkins","$500","$0","$500","Delina DiSanto"
"2106","Prescott House Inc","$500","$0","$500","Delina DiSanto"
"2107","Western Retail Advisors","$500","$0","$500","Delina DiSanto"
"2108","King & Spalding","$11600","$0","$11600","Lloyd Doggett"
"2109","American Dental Assn","$10000","$10000","$0","Lloyd Doggett"
"2110","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Lloyd Doggett"
"2111","American Federation of Teachers","$10000","$10000","$0","Lloyd Doggett"
"2112","Communications Workers of America","$10000","$10000","$0","Lloyd Doggett"
"2113","National Assn of Realtors","$10000","$10000","$0","Lloyd Doggett"
"2114","Wentwood Companies","$8700","$0","$8700","Lloyd Doggett"
"2115","AT&T Inc","$8000","$8000","$0","Lloyd Doggett"
"2116","American College of Rheumatology","$7500","$7500","$0","Lloyd Doggett"
"2117","National Beer Wholesalers Assn","$7500","$7500","$0","Lloyd Doggett"
"2118","American Israel Public Affairs Cmte","$26000","$10000","$16000","Byron Donalds"
"2119","House Freedom Fund","$23600","$12000","$11600","Byron Donalds"
"2120","Welsh, Carson et al","$23200","$0","$23200","Byron Donalds"
"2121","Moran Wealth Management","$17000","$0","$17000","Byron Donalds"
"2122","Trian Partners","$12400","$0","$12400","Byron Donalds"
"2123","1A AUTO INC","$11600","$0","$11600","Byron Donalds"
"2124","Investments Ltd","$11600","$0","$11600","Byron Donalds"
"2125","Sunshine Gasoline Distributors","$11600","$0","$11600","Byron Donalds"
"2126","Advocate Radiation Oncology","$11400","$0","$11400","Byron Donalds"
"2127","ACA International","$10000","$10000","$0","Byron Donalds"
"2128","Vail Resorts","$5900","$0","$5900","Kerry Donovan"
"2129","East West Partners","$5800","$0","$5800","Kerry Donovan"
"2130","Two Trees Management","$5800","$0","$5800","Kerry Donovan"
"2131","Daystrom Security Consulting","$2900","$0","$2900","Kerry Donovan"
"2132","Elana'S Pantry","$2900","$0","$2900","Kerry Donovan"
"2133","Iola Galerston","$2900","$0","$2900","Kerry Donovan"
"2134","Leith Ventures","$2900","$0","$2900","Kerry Donovan"
"2135","Madrone Capital Partners","$2900","$0","$2900","Kerry Donovan"
"2136","Runway Group","$2900","$0","$2900","Kerry Donovan"
"2137","Tinicum Inc","$2900","$0","$2900","Kerry Donovan"
"2138","Franklin Resources","$11600","$0","$11600","Rod Dorilas"
"2139","Leach Capital","$11600","$0","$11600","Rod Dorilas"
"2140","Abercrombie & Kent","$5800","$0","$5800","Rod Dorilas"
"2141","Investments Ltd","$5800","$0","$5800","Rod Dorilas"
"2142","Leotta Real Estate Group","$5800","$0","$5800","Rod Dorilas"
"2143","Prescott Investors","$5800","$0","$5800","Rod Dorilas"
"2144","Tremont Partners","$5800","$0","$5800","Rod Dorilas"
"2145","Vance Street Capital","$5800","$0","$5800","Rod Dorilas"
"2146","Black America's PAC","$5000","$5000","$0","Rod Dorilas"
"2147","Supporting Electing American Leaders","$5000","$5000","$0","Rod Dorilas"
"2148","Nola Busy Bec Agency","$2000","$0","$2000","Nathaniel III Doss"
"2149","McCallie School","$500","$0","$500","Nathaniel III Doss"
"2150","YUM! Brands","$400","$0","$400","Nathaniel III Doss"
"2151","Komatsu America","$250","$0","$250","Nathaniel III Doss"
"2152","Lake Shore Logistics","$200","$0","$200","Nathaniel III Doss"
"2153","Tennessee Valley Authority","$200","$0","$200","Nathaniel III Doss"
"2154","Abnb Federal Credit U","$195","$0","$195","Nathaniel III Doss"
"2155","Hca & Co CPA","$2900","$0","$2900","Elvin Dowling"
"2156","US Term Limits","$2900","$0","$2900","Elvin Dowling"
"2157","Ford Foundation","$2500","$0","$2500","Elvin Dowling"
"2158","Conroy, Simberg et al","$1328","$0","$1328","Elvin Dowling"
"2159","Center for Enterprise Opportun","$1000","$0","$1000","Elvin Dowling"
"2160","National Urban League","$1000","$0","$1000","Elvin Dowling"
"2161","Rmg","$1000","$0","$1000","Elvin Dowling"
"2162","Stuart Kane Llp","$1000","$0","$1000","Elvin Dowling"
"2163","Walmart Inc","$1000","$0","$1000","Elvin Dowling"
"2164","Human Resources Professional","$900","$0","$900","Elvin Dowling"
"2165","Alphabet Inc","$6000","$5000","$1000","Mike Doyle"
"2166","America's Communications Assn","$5000","$5000","$0","Mike Doyle"
"2167","American Federation of State/Cnty/Munic Employees","$5000","$5000","$0","Mike Doyle"
"2168","American Federation of Teachers","$5000","$5000","$0","Mike Doyle"
"2169","Charter Communications","$5000","$5000","$0","Mike Doyle"
"2170","Comcast Corp","$5000","$5000","$0","Mike Doyle"
"2171","Communications Workers of America","$5000","$5000","$0","Mike Doyle"
"2172","Exelon Corp","$5000","$5000","$0","Mike Doyle"
"2173","International Brotherhood of Electrical Workers","$5000","$5000","$0","Mike Doyle"
"2174","Laborers Union","$5000","$5000","$0","Mike Doyle"
"2175","Calvin Job D Dba Mr Logistics For Congress","$5000","$0","$5000","Calvin Driggers"
"2176","Gunster Law Firm","$6000","$0","$6000","Bobby DuBose"
"2177","American Marketing & Management","$5800","$0","$5800","Bobby DuBose"
"2178","Health & Human Services","$4000","$0","$4000","Bobby DuBose"
"2179","State of Florida","$3950","$0","$3950","Bobby DuBose"
"2180","Corcoran Partners","$3900","$0","$3900","Bobby DuBose"
"2181","Debartolo Holdings","$3150","$0","$3150","Bobby DuBose"
"2182","Eastmoore Crauwels & Dubose","$3150","$0","$3150","Bobby DuBose"
"2183","1hmr Industries","$2900","$0","$2900","Bobby DuBose"
"2184","Alphabet Inc","$2900","$0","$2900","Bobby DuBose"
"2185","Bradford M Cohen & Associate","$2900","$0","$2900","Bobby DuBose"
"2186","EMILY's List","$170570","$10000","$160570","Tammy Duckworth"
"2187","Democracy Engine","$75404","$0","$75404","Tammy Duckworth"
"2188","Simmons Hanly Conroy","$48900","$0","$48900","Tammy Duckworth"
"2189","United Airlines Holdings","$44286","$1000","$43286","Tammy Duckworth"
"2190","J Street","$35750","$1000","$34750","Tammy Duckworth"
"2191","Bunge Ltd","$35630","$10000","$25630","Tammy Duckworth"
"2192","Centene Corp","$32331","$7500","$24831","Tammy Duckworth"
"2193","L3Harris Technologies","$31280","$3000","$28280","Tammy Duckworth"
"2194","State of Illinois","$26710","$0","$26710","Tammy Duckworth"
"2195","AAR Corp","$25250","$0","$25250","Tammy Duckworth"
"2196","El Pollo Loco Inc","$4800","$0","$4800","Angelica Duenas"
"2197","Santa Barbara Symphony","$2800","$0","$2800","Angelica Duenas"
"2198","Silly Goose Productions","$2250","$0","$2250","Angelica Duenas"
"2199","Ashmi for Congress","$2000","$2000","$0","Angelica Duenas"
"2200","Blackbeard for Men","$1650","$0","$1650","Angelica Duenas"
"2201","Mychorhizza","$1344","$0","$1344","Angelica Duenas"
"2202","NTS Communications","$1088","$0","$1088","Angelica Duenas"
"2203","East Day School for Boys","$1000","$0","$1000","Angelica Duenas"
"2204","Niosh","$1000","$0","$1000","Angelica Duenas"
"2205","Mission Math","$950","$0","$950","Angelica Duenas"
"2206","House Freedom Fund","$21600","$10000","$11600","Jeff Duncan"
"2207","General Atomics","$15000","$10000","$5000","Jeff Duncan"
"2208","Duke Energy","$11500","$10000","$1500","Jeff Duncan"
"2209","Nephron Pharmaceuticals","$10800","$0","$10800","Jeff Duncan"
"2210","AT&T Inc","$10700","$10000","$700","Jeff Duncan"
"2211","CMR PAC","$10000","$10000","$0","Jeff Duncan"
"2212","Dominion Energy","$10000","$10000","$0","Jeff Duncan"
"2213","Energy Marketers of America","$10000","$10000","$0","Jeff Duncan"
"2214","Eye of the Tiger PAC","$10000","$10000","$0","Jeff Duncan"
"2215","Koch Industries","$10000","$10000","$0","Jeff Duncan"
"2216","Midwestern State University","$4000","$0","$4000","Aubrey Dunn"
"2217","Forest Fitness","$2500","$0","$2500","Aubrey Dunn"
"2218","Mesa Verde Enterprises","$2000","$0","$2000","Aubrey Dunn"
"2219","Ranchline","$2000","$0","$2000","Aubrey Dunn"
"2220","Westsource Corp","$1000","$0","$1000","Aubrey Dunn"
"2221","Design Management Co","$500","$0","$500","Aubrey Dunn"
"2222","Luse Gorman PC","$250","$0","$250","Aubrey Dunn"
"2223","Lewis Bear Co","$15800","$0","$15800","Neal Dunn"
"2224","Great South Timber","$10800","$0","$10800","Neal Dunn"
"2225","NextEra Energy","$10300","$4000","$6300","Neal Dunn"
"2226","American Optometric Assn","$10000","$10000","$0","Neal Dunn"
"2227","American Society of Anesthesiologists","$10000","$10000","$0","Neal Dunn"
"2228","CMR PAC","$10000","$10000","$0","Neal Dunn"
"2229","Continental Pacific LLC","$10000","$0","$10000","Neal Dunn"
"2230","Koch Industries","$10000","$10000","$0","Neal Dunn"
"2231","Majority Cmte PAC","$10000","$10000","$0","Neal Dunn"
"2232","Wild & Wonderful PAC","$10000","$10000","$0","Neal Dunn"
"2233","Global Mine Service Inc","$1000","$0","$1000","Tom Dunn"
"2234","Solid Structures LLC","$1000","$0","$1000","Tom Dunn"
"2235","Door Components Inc","$500","$0","$500","Tom Dunn"
"2236","Family Practice Assoc (Wyoming)","$500","$0","$500","Tom Dunn"
"2237","Glenn Weinberger Topsoil","$500","$0","$500","Tom Dunn"
"2238","UnitedHealth Group","$500","$0","$500","Tom Dunn"
"2239","Brewery Products Co","$250","$0","$250","Tom Dunn"
"2240","Hustle Grind Promotion LLC","$250","$0","$250","Tom Dunn"
"2241","Perfection Bakeries","$250","$0","$250","Tom Dunn"
"2242","US Acute Care Solutions","$250","$0","$250","Tom Dunn"
"2243","Restore Health Group","$13500","$0","$13500","Harold Earls"
"2244","Arylessence Inc","$10532","$0","$10532","Harold Earls"
"2245","Love Properties","$5800","$0","$5800","Harold Earls"
"2246","Richard & Barbara Gaby Foundation","$5800","$0","$5800","Harold Earls"
"2247","Van Epps LLC","$5800","$0","$5800","Harold Earls"
"2248","Herb Realty","$4300","$0","$4300","Harold Earls"
"2249","Arbor","$2900","$0","$2900","Harold Earls"
"2250","Bcw Family Partnership, Lllp","$2900","$0","$2900","Harold Earls"
"2251","Covermymeds","$2900","$0","$2900","Harold Earls"
"2252","Crown Asset","$2900","$0","$2900","Harold Earls"
"2253","Retired U S Army","$3435","$0","$3435","Daryl Eddings"
"2254","Doherty","$5800","$0","$5800","Ruth Edmonds"
"2255","Lindsay Honda","$5800","$0","$5800","Ruth Edmonds"
"2256","Phronesis Partners","$5600","$0","$5600","Ruth Edmonds"
"2257","Family Research Council","$5500","$5000","$500","Ruth Edmonds"
"2258","Patterson Power Engineers LLC","$5000","$0","$5000","Ruth Edmonds"
"2259","Perez & Morris","$5000","$0","$5000","Ruth Edmonds"
"2260","Northwestern Mutual","$3550","$0","$3550","Ruth Edmonds"
"2261","Arkmalibu LLC","$3000","$0","$3000","Ruth Edmonds"
"2262","Industrial Finishing Services","$3000","$0","$3000","Ruth Edmonds"
"2263","316 Group","$2900","$0","$2900","Ruth Edmonds"
"2264","JPMorgan Chase & Co","$4400","$0","$4400","Mike Egan"
"2265","Axon Enterprise","$2900","$0","$2900","Mike Egan"
"2266","Creative Solutions In Healthcare","$2900","$0","$2900","Mike Egan"
"2267","Hca","$2900","$0","$2900","Mike Egan"
"2268","Herlong Law Firm","$2900","$0","$2900","Mike Egan"
"2269","Lieblong & Assoc","$2900","$0","$2900","Mike Egan"
"2270","Marlin Capital","$2900","$0","$2900","Mike Egan"
"2271","Ruggable","$2800","$0","$2800","Mike Egan"
"2272","Northwell Health","$2000","$0","$2000","Mike Egan"
"2273","USAA","$1500","$0","$1500","Mike Egan"
